sender,subject,body,status,category,timestamp
Google,Security alert,Security alert,Unread,Authentic,2026-04-01 17:33:39
mylabs,"icddr,b Clinical Immunology Laboratory report of Samapti Hira Patient ID: P-1008895","icddr,b Clinical Immunology Laboratory report of Samapti Hira Patient ID: P-1008895",Read,Authentic,2026-04-01 17:33:39
Microsoft CMT,Call for Papers: SCRS sponsored conferences,Call for Papers: SCRS sponsored conferences,Read,Authentic,2026-04-01 17:33:39
SCRS Conferences,"Call for Papers 2026: International Conferences at South Korea, Kazakhstan, Mauritius, United States, Australia and India","Call for Papers 2026: International Conferences at South Korea, Kazakhstan, Mauritius, United States, Australia and India",Read,Authentic,2026-04-01 17:33:39
"Awishy, me",Fwd: Action Required: Verify Your Submission Status & Program Schedule for IEEE QPAIN 2026,Fwd: Action Required: Verify Your Submission Status & Program Schedule for IEEE QPAIN 2026,Read,Authentic,2026-04-01 17:33:39
Microsoft CMT,2026 International Conference on Engineering and Frontier Technologies : Submission (546) has been edited.,2026 International Conference on Engineering and Frontier Technologies : Submission (546) has been edited.,Read,Authentic,2026-04-01 17:33:39
Microsoft CMT,"IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (5) has been created.","IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (5) has been created.",Read,Authentic,2026-04-01 17:33:39
Microsoft CMT,"IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (4) has been created.","IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (4) has been created.",Read,Authentic,2026-04-01 17:33:39
Microsoft CMT,"IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (3) has been created.","IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (3) has been created.",Read,Authentic,2026-04-01 17:33:39
Microsoft CMT,"2026 IEEE International Conference on Biomedical Engineering, Computer and Information Technology for Health : Submission (5) has been created.","2026 IEEE International Conference on Biomedical Engineering, Computer and Information Technology for Health : Submission (5) has been created.",Read,Authentic,2026-04-01 17:33:39
Google,Security alert,Security alert,Unread,Authentic,2026-04-01 17:35:41
mylabs,"icddr,b Clinical Immunology Laboratory report of Samapti Hira Patient ID: P-1008895","icddr,b Clinical Immunology Laboratory report of Samapti Hira Patient ID: P-1008895",Read,Authentic,2026-04-01 17:35:41
Microsoft CMT,Call for Papers: SCRS sponsored conferences,Call for Papers: SCRS sponsored conferences,Read,Authentic,2026-04-01 17:35:41
SCRS Conferences,"Call for Papers 2026: International Conferences at South Korea, Kazakhstan, Mauritius, United States, Australia and India","Call for Papers 2026: International Conferences at South Korea, Kazakhstan, Mauritius, United States, Australia and India",Read,Authentic,2026-04-01 17:35:41
"Awishy, me",Fwd: Action Required: Verify Your Submission Status & Program Schedule for IEEE QPAIN 2026,Fwd: Action Required: Verify Your Submission Status & Program Schedule for IEEE QPAIN 2026,Read,Authentic,2026-04-01 17:35:41
Microsoft CMT,2026 International Conference on Engineering and Frontier Technologies : Submission (546) has been edited.,2026 International Conference on Engineering and Frontier Technologies : Submission (546) has been edited.,Read,Authentic,2026-04-01 17:35:41
Microsoft CMT,"IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (5) has been created.","IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (5) has been created.",Read,Authentic,2026-04-01 17:35:41
Microsoft CMT,"IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (4) has been created.","IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (4) has been created.",Read,Authentic,2026-04-01 17:35:41
Microsoft CMT,"IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (3) has been created.","IEEE International Conference on Signal Processing, Information, Communication and Systems 2026 : Submission (3) has been created.",Read,Authentic,2026-04-01 17:35:41
Microsoft CMT,"2026 IEEE International Conference on Biomedical Engineering, Computer and Information Technology for Health : Submission (5) has been created.","2026 IEEE International Conference on Biomedical Engineering, Computer and Information Technology for Health : Submission (5) has been created.",Read,Authentic,2026-04-01 17:35:41
Google,Security alert,Security alert,Unread,Authentic,2026-04-02 12:51:45
Shahriar .. Hasibul,I want to connect,I want to connect,Read,Authentic,2026-04-02 12:51:45
LinkedIn Job Alerts,Bank Asia PLC. is hiring: Technical Project Manager,Bank Asia PLC. is hiring: Technical Project Manager,Unread,Authentic,2026-04-02 12:51:45
Md.Nasir Uddin via .,"Md.Nasir accepted your invitation, explore their network","Md.Nasir accepted your invitation, explore their network",Unread,Authentic,2026-04-02 12:51:45
LinkedIn,Mashrafe Uddin Tarafder replied to your comment.,Mashrafe Uddin Tarafder replied to your comment.,Unread,Authentic,2026-04-02 12:51:45
World of Electrical.,The Safety-First Engineer: Demystifying Process Safety & Risk Analysis,The Safety-First Engineer: Demystifying Process Safety & Risk Analysis,Unread,Authentic,2026-04-02 12:51:45
LinkedIn,Complete your profile,Complete your profile,Unread,Authentic,2026-04-02 12:51:45
LinkedIn,43 profile views,43 profile views,Unread,Authentic,2026-04-02 12:51:45
LinkedIn,You have 1 new invitation,You have 1 new invitation,Unread,Authentic,2026-04-02 12:51:45
Google,Security alert for intazam2896@gmail.com,Security alert for intazam2896@gmail.com,Unread,Authentic,2026-04-02 12:51:45
